Origin,Destination,Approved,source_file
INCOZ - YMHB,INCOZ - NFFN,False,A320.csv
INCOZ - YMLT,INCOZ - NFFN,False,A320.csv
INCOZ - YMML,INCOZ - NFFN,False,A320.csv
INCOZ - YPAD,INCOZ - NFFN,False,A320.csv
INCOZ - YPPH,INCOZ - NFFN,False,A320.csv
INCOZ - YSCB,INCOZ - NFFN,False,A320.csv
INCOZ - YSSY,INCOZ - NFFN,False,A320.csv
INCOZ - NFFN,INCOZ - NZAA,False,A320.csv
INCOZ - NZAA,INCOZ - NZAA,False,A320.csv
INCOZ - NZCH,INCOZ - NZAA,True,A320.csv
INCOZ - NZGS,INCOZ - NZAA,False,A320.csv
INCOZ - NZMF,INCOZ - NZAA,False,A320.csv
INCOZ - NZMJ,INCOZ - NZAA,False,A320.csv
INCOZ - NZNS,INCOZ - NZAA,False,A320.csv
INCOZ - NZNV,INCOZ - NZAA,True,A320.csv
INCOZ - NZQE,INCOZ - NZAA,False,A320.csv
INCOZ - NZQN,INCOZ - NZAA,True,A320.csv
INCOZ - NZRO,INCOZ - NZAA,False,A320.csv
INCOZ - NZTL,INCOZ - NZAA,False,A320.csv
INCOZ - NZWN,INCOZ - NZAA,True,A320.csv
INCOZ - NZWR,INCOZ - NZAA,False,A320.csv
INCOZ - NZWS,INCOZ - NZAA,False,A320.csv
INCOZ - RJCH,INCOZ - NZAA,False,A320.csv
INCOZ - RJOA,INCOZ - NZAA,False,A320.csv
INCOZ - RJOO,INCOZ - NZAA,False,A320.csv
INCOZ - RKPK,INCOZ - NZAA,False,A320.csv
INCOZ - RKTN,INCOZ - NZAA,False,A320.csv
INCOZ - ROAH,INCOZ - NZAA,False,A320.csv
INCOZ - SCEL,INCOZ - NZAA,False,A320.csv
INCOZ - SCIP,INCOZ - NZAA,False,A320.csv
INCOZ - SEQM,INCOZ - NZAA,False,A320.csv
INCOZ - VHHX,INCOZ - NZAA,False,A320.csv
INCOZ - VNKT,INCOZ - NZAA,False,A320.csv
INCOZ - WADD,INCOZ - NZAA,False,A320.csv
INCOZ - WSSS,INCOZ - NZAA,False,A320.csv
INCOZ - YBBN,INCOZ - NZAA,True,A320.csv
INCOZ - YBCG,INCOZ - NZAA,True,A320.csv
INCOZ - YBHM,INCOZ - NZAA,False,A320.csv
INCOZ - YBMK,INCOZ - NZAA,False,A320.csv
INCOZ - YBRK,INCOZ - NZAA,False,A320.csv
INCOZ - YBSU,INCOZ - NZAA,False,A320.csv
INCOZ - YMHB,INCOZ - NZAA,True,A320.csv
INCOZ - YMLT,INCOZ - NZAA,False,A320.csv
INCOZ - YMML,INCOZ - NZAA,True,A320.csv
INCOZ - YPAD,INCOZ - NZAA,True,A320.csv
INCOZ - YPPH,INCOZ - NZAA,False,A320.csv
INCOZ - YSCB,INCOZ - NZAA,False,A320.csv
INCOZ - YSSY,INCOZ - NZAA,True,A320.csv
INCOZ - NFFN,INCOZ - NZCH,False,A320.csv
INCOZ - NZAA,INCOZ - NZCH,True,A320.csv
INCOZ - NZCH,INCOZ - NZCH,False,A320.csv
INCOZ - NZGS,INCOZ - NZCH,False,A320.csv
INCOZ - NZMF,INCOZ - NZCH,False,A320.csv
INCOZ - NZMJ,INCOZ - NZCH,False,A320.csv
INCOZ - NZNS,INCOZ - NZCH,False,A320.csv
INCOZ - NZNV,INCOZ - NZCH,True,A320.csv
INCOZ - NZQE,INCOZ - NZCH,False,A320.csv
INCOZ - NZQN,INCOZ - NZCH,False,A320.csv
INCOZ - NZRO,INCOZ - NZCH,False,A320.csv
INCOZ - NZTL,INCOZ - NZCH,False,A320.csv
INCOZ - NZWN,INCOZ - NZCH,True,A320.csv
INCOZ - NZWR,INCOZ - NZCH,False,A320.csv
INCOZ - NZWS,INCOZ - NZCH,False,A320.csv
INCOZ - RJCH,INCOZ - NZCH,False,A320.csv
INCOZ - RJOA,INCOZ - NZCH,False,A320.csv
INCOZ - RJOO,INCOZ - NZCH,False,A320.csv
INCOZ - RKPK,INCOZ - NZCH,False,A320.csv
INCOZ - RKTN,INCOZ - NZCH,False,A320.csv
INCOZ - ROAH,INCOZ - NZCH,False,A320.csv
INCOZ - SCEL,INCOZ - NZCH,False,A320.csv
INCOZ - SCIP,INCOZ - NZCH,False,A320.csv
INCOZ - SEQM,INCOZ - NZCH,False,A320.csv
INCOZ - VHHX,INCOZ - NZCH,False,A320.csv
INCOZ - VNKT,INCOZ - NZCH,False,A320.csv
INCOZ - WADD,INCOZ - NZCH,False,A320.csv
INCOZ - WSSS,INCOZ - NZCH,False,A320.csv
INCOZ - YBBN,INCOZ - NZCH,True,A320.csv
INCOZ - YBCG,INCOZ - NZCH,True,A320.csv
INCOZ - YBHM,INCOZ - NZCH,False,A320.csv
INCOZ - YBMK,INCOZ - NZCH,False,A320.csv
INCOZ - YBRK,INCOZ - NZCH,False,A320.csv
INCOZ - YBSU,INCOZ - NZCH,False,A320.csv
INCOZ - YMHB,INCOZ - NZCH,True,A320.csv
INCOZ - YMLT,INCOZ - NZCH,False,A320.csv
INCOZ - YMML,INCOZ - NZCH,True,A320.csv
INCOZ - YPAD,INCOZ - NZCH,True,A320.csv
INCOZ - YPPH,INCOZ - NZCH,False,A320.csv
INCOZ - YSCB,INCOZ - NZCH,False,A320.csv
INCOZ - YSSY,INCOZ - NZCH,True,A320.csv
INCOZ - NFFN,INCOZ - NZGS,False,A320.csv
INCOZ - NZAA,INCOZ - NZGS,False,A320.csv
INCOZ - NZCH,INCOZ - NZGS,False,A320.csv
INCOZ - NZGS,INCOZ - NZGS,False,A320.csv
INCOZ - NZMF,INCOZ - NZGS,False,A320.csv
INCOZ - NZMJ,INCOZ - NZGS,False,A320.csv
INCOZ - NZNS,INCOZ - NZGS,False,A320.csv
INCOZ - NZNV,INCOZ - NZGS,False,A320.csv
INCOZ - NZQE,INCOZ - NZGS,False,A320.csv
INCOZ - NZQN,INCOZ - NZGS,False,A320.csv
INCOZ - NZRO,INCOZ - NZGS,False,A320.csv
INCOZ - NZTL,INCOZ - NZGS,False,A320.csv
INCOZ - NZWN,INCOZ - NZGS,False,A320.csv
INCOZ - NZWR,INCOZ - NZGS,False,A320.csv
INCOZ - NZWS,INCOZ - NZGS,False,A320.csv
INCOZ - RJCH,INCOZ - NZGS,False,A320.csv
INCOZ - RJOA,INCOZ - NZGS,False,A320.csv
INCOZ - RJOO,INCOZ - NZGS,False,A320.csv
INCOZ - RKPK,INCOZ - NZGS,False,A320.csv
INCOZ - RKTN,INCOZ - NZGS,False,A320.csv
INCOZ - ROAH,INCOZ - NZGS,False,A320.csv
INCOZ - SCEL,INCOZ - NZGS,False,A320.csv
INCOZ - SCIP,INCOZ - NZGS,False,A320.csv
INCOZ - SEQM,INCOZ - NZGS,False,A320.csv
INCOZ - VHHX,INCOZ - NZGS,False,A320.csv
INCOZ - VNKT,INCOZ - NZGS,False,A320.csv
INCOZ - WADD,INCOZ - NZGS,False,A320.csv
INCOZ - WSSS,INCOZ - NZGS,False,A320.csv
INCOZ - YBBN,INCOZ - NZGS,False,A320.csv
INCOZ - YBCG,INCOZ - NZGS,False,A320.csv
INCOZ - YBHM,INCOZ - NZGS,False,A320.csv
INCOZ - YBMK,INCOZ - NZGS,False,A320.csv
INCOZ - YBRK,INCOZ - NZGS,False,A320.csv
INCOZ - YBSU,INCOZ - NZGS,False,A320.csv
INCOZ - YMHB,INCOZ - NZGS,False,A320.csv
INCOZ - YMLT,INCOZ - NZGS,False,A320.csv
INCOZ - YMML,INCOZ - NZGS,False,A320.csv
INCOZ - YPAD,INCOZ - NZGS,False,A320.csv
INCOZ - YPPH,INCOZ - NZGS,False,A320.csv
INCOZ - YSCB,INCOZ - NZGS,False,A320.csv
INCOZ - YSSY,INCOZ - NZGS,False,A320.csv
INCOZ - NFFN,INCOZ - NZMF,False,A320.csv
INCOZ - NZAA,INCOZ - NZMF,False,A320.csv
INCOZ - NZCH,INCOZ - NZMF,False,A320.csv
INCOZ - NZGS,INCOZ - NZMF,False,A320.csv
INCOZ - NZMF,INCOZ - NZMF,False,A320.csv
INCOZ - NZMJ,INCOZ - NZMF,False,A320.csv
INCOZ - NZNS,INCOZ - NZMF,False,A320.csv
INCOZ - NZNV,INCOZ - NZMF,False,A320.csv
INCOZ - NZQE,INCOZ - NZMF,False,A320.csv
INCOZ - NZQN,INCOZ - NZMF,False,A320.csv
INCOZ - NZRO,INCOZ - NZMF,False,A320.csv
INCOZ - NZTL,INCOZ - NZMF,False,A320.csv
INCOZ - NZWN,INCOZ - NZMF,False,A320.csv
INCOZ - NZWR,INCOZ - NZMF,False,A320.csv
INCOZ - NZWS,INCOZ - NZMF,False,A320.csv
INCOZ - RJCH,INCOZ - NZMF,False,A320.csv
INCOZ - RJOA,INCOZ - NZMF,False,A320.csv
INCOZ - RJOO,INCOZ - NZMF,False,A320.csv
INCOZ - RKPK,INCOZ - NZMF,False,A320.csv
INCOZ - RKTN,INCOZ - NZMF,False,A320.csv
INCOZ - ROAH,INCOZ - NZMF,False,A320.csv
INCOZ - SCEL,INCOZ - NZMF,False,A320.csv
INCOZ - SCIP,INCOZ - NZMF,False,A320.csv
INCOZ - SEQM,INCOZ - NZMF,False,A320.csv
INCOZ - VHHX,INCOZ - NZMF,False,A320.csv
INCOZ - VNKT,INCOZ - NZMF,False,A320.csv
INCOZ - WADD,INCOZ - NZMF,False,A320.csv
INCOZ - WSSS,INCOZ - NZMF,False,A320.csv
INCOZ - YBBN,INCOZ - NZMF,False,A320.csv
INCOZ - YBCG,INCOZ - NZMF,False,A320.csv
INCOZ - YBHM,INCOZ - NZMF,False,A320.csv
INCOZ - YBMK,INCOZ - NZMF,False,A320.csv
INCOZ - YBRK,INCOZ - NZMF,False,A320.csv
INCOZ - YBSU,INCOZ - NZMF,False,A320.csv
INCOZ - YMHB,INCOZ - NZMF,False,A320.csv
INCOZ - YMLT,INCOZ - NZMF,False,A320.csv
INCOZ - YMML,INCOZ - NZMF,False,A320.csv
INCOZ - YPAD,INCOZ - NZMF,False,A320.csv
INCOZ - YPPH,INCOZ - NZMF,False,A320.csv
INCOZ - YSCB,INCOZ - NZMF,False,A320.csv
INCOZ - YSSY,INCOZ - NZMF,False,A320.csv
INCOZ - NFFN,INCOZ - NZMJ,False,A320.csv
INCOZ - NZAA,INCOZ - NZMJ,False,A320.csv
INCOZ - NZCH,INCOZ - NZMJ,False,A320.csv
INCOZ - NZGS,INCOZ - NZMJ,False,A320.csv
INCOZ - NZMF,INCOZ - NZMJ,False,A320.csv
INCOZ - NZMJ,INCOZ - NZMJ,False,A320.csv
INCOZ - NZNS,INCOZ - NZMJ,False,A320.csv
INCOZ - NZNV,INCOZ - NZMJ,False,A320.csv
INCOZ - NZQE,INCOZ - NZMJ,False,A320.csv
INCOZ - NZQN,INCOZ - NZMJ,False,A320.csv
INCOZ - NZRO,INCOZ - NZMJ,False,A320.csv
INCOZ - NZTL,INCOZ - NZMJ,False,A320.csv
INCOZ - NZWN,INCOZ - NZMJ,False,A320.csv
INCOZ - NZWR,INCOZ - NZMJ,False,A320.csv
INCOZ - NZWS,INCOZ - NZMJ,False,A320.csv
INCOZ - RJCH,INCOZ - NZMJ,False,A320.csv
INCOZ - RJOA,INCOZ - NZMJ,False,A320.csv
INCOZ - RJOO,INCOZ - NZMJ,False,A320.csv
INCOZ - RKPK,INCOZ - NZMJ,False,A320.csv
INCOZ - RKTN,INCOZ - NZMJ,False,A320.csv
INCOZ - ROAH,INCOZ - NZMJ,False,A320.csv
INCOZ - SCEL,INCOZ - NZMJ,False,A320.csv
INCOZ - SCIP,INCOZ - NZMJ,False,A320.csv
INCOZ - SEQM,INCOZ - NZMJ,False,A320.csv
INCOZ - VHHX,INCOZ - NZMJ,False,A320.csv
INCOZ - VNKT,INCOZ - NZMJ,False,A320.csv
INCOZ - WADD,INCOZ - NZMJ,False,A320.csv
INCOZ - WSSS,INCOZ - NZMJ,False,A320.csv
INCOZ - YBBN,INCOZ - NZMJ,False,A320.csv
INCOZ - YBCG,INCOZ - NZMJ,False,A320.csv
INCOZ - YBHM,INCOZ - NZMJ,False,A320.csv
INCOZ - YBMK,INCOZ - NZMJ,False,A320.csv
INCOZ - YBRK,INCOZ - NZMJ,False,A320.csv
INCOZ - YBSU,INCOZ - NZMJ,False,A320.csv
INCOZ - YMHB,INCOZ - NZMJ,False,A320.csv
INCOZ - YMLT,INCOZ - NZMJ,False,A320.csv
INCOZ - YMML,INCOZ - NZMJ,False,A320.csv
INCOZ - YPAD,INCOZ - NZMJ,False,A320.csv
INCOZ - YPPH,INCOZ - NZMJ,False,A320.csv
INCOZ - YSCB,INCOZ - NZMJ,False,A320.csv
INCOZ - YSSY,INCOZ - NZMJ,False,A320.csv
INCOZ - NFFN,INCOZ - NZNS,False,A320.csv
INCOZ - NZAA,INCOZ - NZNS,False,A320.csv
INCOZ - NZCH,INCOZ - NZNS,False,A320.csv
INCOZ - NZGS,INCOZ - NZNS,False,A320.csv
INCOZ - NZMF,INCOZ - NZNS,False,A320.csv
INCOZ - NZMJ,INCOZ - NZNS,False,A320.csv
INCOZ - NZNS,INCOZ - NZNS,False,A320.csv
INCOZ - NZNV,INCOZ - NZNS,False,A320.csv
INCOZ - NZQE,INCOZ - NZNS,False,A320.csv
INCOZ - NZQN,INCOZ - NZNS,False,A320.csv
INCOZ - NZRO,INCOZ - NZNS,False,A320.csv
INCOZ - NZTL,INCOZ - NZNS,False,A320.csv
INCOZ - NZWN,INCOZ - NZNS,False,A320.csv
INCOZ - NZWR,INCOZ - NZNS,False,A320.csv
INCOZ - NZWS,INCOZ - NZNS,False,A320.csv
INCOZ - RJCH,INCOZ - NZNS,False,A320.csv
INCOZ - RJOA,INCOZ - NZNS,False,A320.csv
INCOZ - RJOO,INCOZ - NZNS,False,A320.csv
INCOZ - RKPK,INCOZ - NZNS,False,A320.csv
INCOZ - RKTN,INCOZ - NZNS,False,A320.csv
INCOZ - ROAH,INCOZ - NZNS,False,A320.csv
INCOZ - SCEL,INCOZ - NZNS,False,A320.csv
INCOZ - SCIP,INCOZ - NZNS,False,A320.csv
INCOZ - SEQM,INCOZ - NZNS,False,A320.csv
INCOZ - VHHX,INCOZ - NZNS,False,A320.csv
INCOZ - VNKT,INCOZ - NZNS,False,A320.csv
INCOZ - WADD,INCOZ - NZNS,False,A320.csv
INCOZ - WSSS,INCOZ - NZNS,False,A320.csv
INCOZ - YBBN,INCOZ - NZNS,False,A320.csv
INCOZ - YBCG,INCOZ - NZNS,False,A320.csv
INCOZ - YBHM,INCOZ - NZNS,False,A320.csv
INCOZ - YBMK,INCOZ - NZNS,False,A320.csv
INCOZ - YBRK,INCOZ - NZNS,False,A320.csv
INCOZ - YBSU,INCOZ - NZNS,False,A320.csv
INCOZ - YMHB,INCOZ - NZNS,False,A320.csv
INCOZ - YMLT,INCOZ - NZNS,False,A320.csv
INCOZ - YMML,INCOZ - NZNS,False,A320.csv
INCOZ - YPAD,INCOZ - NZNS,False,A320.csv
INCOZ - YPPH,INCOZ - NZNS,False,A320.csv
INCOZ - YSCB,INCOZ - NZNS,False,A320.csv
INCOZ - YSSY,INCOZ - NZNS,False,A320.csv
INCOZ - NFFN,INCOZ - NZNV,False,A320.csv
INCOZ - NZAA,INCOZ - NZNV,True,A320.csv
INCOZ - NZCH,INCOZ - NZNV,True,A320.csv
INCOZ - NZGS,INCOZ - NZNV,False,A320.csv
INCOZ - NZMF,INCOZ - NZNV,False,A320.csv
INCOZ - NZMJ,INCOZ - NZNV,False,A320.csv
INCOZ - NZNS,INCOZ - NZNV,False,A320.csv
INCOZ - NZNV,INCOZ - NZNV,False,A320.csv
INCOZ - NZQE,INCOZ - NZNV,False,A320.csv
INCOZ - NZQN,INCOZ - NZNV,True,A320.csv
INCOZ - NZRO,INCOZ - NZNV,False,A320.csv
INCOZ - NZTL,INCOZ - NZNV,False,A320.csv
INCOZ - NZWN,INCOZ - NZNV,True,A320.csv
INCOZ - NZWR,INCOZ - NZNV,False,A320.csv
INCOZ - NZWS,INCOZ - NZNV,False,A320.csv
INCOZ - RJCH,INCOZ - NZNV,False,A320.csv
INCOZ - RJOA,INCOZ - NZNV,False,A320.csv
INCOZ - RJOO,INCOZ - NZNV,False,A320.csv
INCOZ - RKPK,INCOZ - NZNV,False,A320.csv
INCOZ - RKTN,INCOZ - NZNV,False,A320.csv
INCOZ - ROAH,INCOZ - NZNV,False,A320.csv
INCOZ - SCEL,INCOZ - NZNV,False,A320.csv
INCOZ - SCIP,INCOZ - NZNV,False,A320.csv
INCOZ - SEQM,INCOZ - NZNV,False,A320.csv
INCOZ - VHHX,INCOZ - NZNV,False,A320.csv
INCOZ - VNKT,INCOZ - NZNV,False,A320.csv
INCOZ - WADD,INCOZ - NZNV,False,A320.csv
INCOZ - WSSS,INCOZ - NZNV,False,A320.csv
INCOZ - YBBN,INCOZ - NZNV,False,A320.csv
INCOZ - YBCG,INCOZ - NZNV,False,A320.csv
INCOZ - YBHM,INCOZ - NZNV,False,A320.csv
INCOZ - YBMK,INCOZ - NZNV,False,A320.csv
INCOZ - YBRK,INCOZ - NZNV,False,A320.csv
INCOZ - YBSU,INCOZ - NZNV,False,A320.csv
INCOZ - YMHB,INCOZ - NZNV,False,A320.csv
INCOZ - YMLT,INCOZ - NZNV,False,A320.csv
INCOZ - YMML,INCOZ - NZNV,False,A320.csv
INCOZ - YPAD,INCOZ - NZNV,False,A320.csv
INCOZ - YPPH,INCOZ - NZNV,False,A320.csv
INCOZ - YSCB,INCOZ - NZNV,False,A320.csv
INCOZ - YSSY,INCOZ - NZNV,False,A320.csv
INCOZ - NFFN,INCOZ - NZQE,False,A320.csv
INCOZ - NZAA,INCOZ - NZQE,False,A320.csv
INCOZ - NZCH,INCOZ - NZQE,False,A320.csv
INCOZ - NZGS,INCOZ - NZQE,False,A320.csv
INCOZ - NZMF,INCOZ - NZQE,False,A320.csv
INCOZ - NZMJ,INCOZ - NZQE,False,A320.csv
INCOZ - NZNS,INCOZ - NZQE,False,A320.csv
INCOZ - NZNV,INCOZ - NZQE,False,A320.csv
INCOZ - NZQE,INCOZ - NZQE,False,A320.csv
INCOZ - NZQN,INCOZ - NZQE,False,A320.csv
INCOZ - NZRO,INCOZ - NZQE,False,A320.csv
INCOZ - NZTL,INCOZ - NZQE,False,A320.csv
INCOZ - NZWN,INCOZ - NZQE,False,A320.csv
INCOZ - NZWR,INCOZ - NZQE,False,A320.csv
INCOZ - NZWS,INCOZ - NZQE,False,A320.csv
INCOZ - RJCH,INCOZ - NZQE,False,A320.csv
INCOZ - RJOA,INCOZ - NZQE,False,A320.csv
INCOZ - RJOO,INCOZ - NZQE,False,A320.csv
INCOZ - RKPK,INCOZ - NZQE,False,A320.csv
INCOZ - RKTN,INCOZ - NZQE,False,A320.csv
INCOZ - ROAH,INCOZ - NZQE,False,A320.csv
INCOZ - SCEL,INCOZ - NZQE,False,A320.csv
INCOZ - SCIP,INCOZ - NZQE,False,A320.csv
INCOZ - SEQM,INCOZ - NZQE,False,A320.csv
INCOZ - VHHX,INCOZ - NZQE,False,A320.csv
INCOZ - VNKT,INCOZ - NZQE,False,A320.csv
INCOZ - WADD,INCOZ - NZQE,False,A320.csv
INCOZ - WSSS,INCOZ - NZQE,False,A320.csv
INCOZ - YBBN,INCOZ - NZQE,False,A320.csv
INCOZ - YBCG,INCOZ - NZQE,False,A320.csv
INCOZ - YBHM,INCOZ - NZQE,False,A320.csv
INCOZ - YBMK,INCOZ - NZQE,False,A320.csv
INCOZ - YBRK,INCOZ - NZQE,False,A320.csv
INCOZ - YBSU,INCOZ - NZQE,False,A320.csv
INCOZ - YMHB,INCOZ - NZQE,False,A320.csv
INCOZ - YMLT,INCOZ - NZQE,False,A320.csv
INCOZ - YMML,INCOZ - NZQE,False,A320.csv
INCOZ - YPAD,INCOZ - NZQE,False,A320.csv
INCOZ - YPPH,INCOZ - NZQE,False,A320.csv
INCOZ - YSCB,INCOZ - NZQE,False,A320.csv
INCOZ - YSSY,INCOZ - NZQE,False,A320.csv
INCOZ - NFFN,INCOZ - NZQN,False,A320.csv
INCOZ - NZAA,INCOZ - NZQN,True,A320.csv
INCOZ - NZCH,INCOZ - NZQN,False,A320.csv
INCOZ - NZGS,INCOZ - NZQN,False,A320.csv
INCOZ - NZMF,INCOZ - NZQN,False,A320.csv
INCOZ - NZMJ,INCOZ - NZQN,False,A320.csv
INCOZ - NZNS,INCOZ - NZQN,False,A320.csv
INCOZ - NZNV,INCOZ - NZQN,True,A320.csv
INCOZ - NZQE,INCOZ - NZQN,False,A320.csv
INCOZ - NZQN,INCOZ - NZQN,False,A320.csv
INCOZ - NZRO,INCOZ - NZQN,False,A320.csv
INCOZ - NZTL,INCOZ - NZQN,False,A320.csv
INCOZ - NZWN,INCOZ - NZQN,True,A320.csv
INCOZ - NZWR,INCOZ - NZQN,False,A320.csv
INCOZ - NZWS,INCOZ - NZQN,False,A320.csv
INCOZ - RJCH,INCOZ - NZQN,False,A320.csv
INCOZ - RJOA,INCOZ - NZQN,False,A320.csv
INCOZ - RJOO,INCOZ - NZQN,False,A320.csv
INCOZ - RKPK,INCOZ - NZQN,False,A320.csv
INCOZ - RKTN,INCOZ - NZQN,False,A320.csv
INCOZ - ROAH,INCOZ - NZQN,False,A320.csv
INCOZ - SCEL,INCOZ - NZQN,False,A320.csv
INCOZ - SCIP,INCOZ - NZQN,False,A320.csv
INCOZ - SEQM,INCOZ - NZQN,False,A320.csv
INCOZ - VHHX,INCOZ - NZQN,False,A320.csv
INCOZ - VNKT,INCOZ - NZQN,False,A320.csv
INCOZ - WADD,INCOZ - NZQN,False,A320.csv
INCOZ - WSSS,INCOZ - NZQN,False,A320.csv
INCOZ - YBBN,INCOZ - NZQN,True,A320.csv
INCOZ - YBCG,INCOZ - NZQN,True,A320.csv
INCOZ - YBHM,INCOZ - NZQN,False,A320.csv
INCOZ - YBMK,INCOZ - NZQN,False,A320.csv
INCOZ - YBRK,INCOZ - NZQN,False,A320.csv
INCOZ - YBSU,INCOZ - NZQN,False,A320.csv
INCOZ - YMHB,INCOZ - NZQN,False,A320.csv
INCOZ - YMLT,INCOZ - NZQN,False,A320.csv
INCOZ - YMML,INCOZ - NZQN,True,A320.csv
INCOZ - YPAD,INCOZ - NZQN,False,A320.csv
INCOZ - YPPH,INCOZ - NZQN,False,A320.csv
INCOZ - YSCB,INCOZ - NZQN,False,A320.csv
INCOZ - YSSY,INCOZ - NZQN,True,A320.csv
INCOZ - NFFN,INCOZ - NZRO,False,A320.csv
INCOZ - NZAA,INCOZ - NZRO,False,A320.csv
INCOZ - NZCH,INCOZ - NZRO,False,A320.csv
INCOZ - NZGS,INCOZ - NZRO,False,A320.csv
INCOZ - NZMF,INCOZ - NZRO,False,A320.csv
INCOZ - NZMJ,INCOZ - NZRO,False,A320.csv
INCOZ - NZNS,INCOZ - NZRO,False,A320.csv
INCOZ - NZNV,INCOZ - NZRO,False,A320.csv
INCOZ - NZQE,INCOZ - NZRO,False,A320.csv
INCOZ - NZQN,INCOZ - NZRO,False,A320.csv
INCOZ - NZRO,INCOZ - NZRO,False,A320.csv
INCOZ - NZTL,INCOZ - NZRO,False,A320.csv
INCOZ - NZWN,INCOZ - NZRO,False,A320.csv
INCOZ - NZWR,INCOZ - NZRO,False,A320.csv
INCOZ - NZWS,INCOZ - NZRO,False,A320.csv
INCOZ - RJCH,INCOZ - NZRO,False,A320.csv
INCOZ - RJOA,INCOZ - NZRO,False,A320.csv
INCOZ - RJOO,INCOZ - NZRO,False,A320.csv
INCOZ - RKPK,INCOZ - NZRO,False,A320.csv
INCOZ - RKTN,INCOZ - NZRO,False,A320.csv
INCOZ - ROAH,INCOZ - NZRO,False,A320.csv
INCOZ - SCEL,INCOZ - NZRO,False,A320.csv
INCOZ - SCIP,INCOZ - NZRO,False,A320.csv
INCOZ - SEQM,INCOZ - NZRO,False,A320.csv
INCOZ - VHHX,INCOZ - NZRO,False,A320.csv
INCOZ - VNKT,INCOZ - NZRO,False,A320.csv
INCOZ - WADD,INCOZ - NZRO,False,A320.csv
INCOZ - WSSS,INCOZ - NZRO,False,A320.csv
INCOZ - YBBN,INCOZ - NZRO,False,A320.csv
INCOZ - YBCG,INCOZ - NZRO,False,A320.csv
INCOZ - YBHM,INCOZ - NZRO,False,A320.csv
INCOZ - YBMK,INCOZ - NZRO,False,A320.csv
INCOZ - YBRK,INCOZ - NZRO,False,A320.csv
INCOZ - YBSU,INCOZ - NZRO,False,A320.csv
INCOZ - YMHB,INCOZ - NZRO,False,A320.csv
INCOZ - YMLT,INCOZ - NZRO,False,A320.csv
INCOZ - YMML,INCOZ - NZRO,False,A320.csv
INCOZ - YPAD,INCOZ - NZRO,False,A320.csv
INCOZ - YPPH,INCOZ - NZRO,False,A320.csv
INCOZ - YSCB,INCOZ - NZRO,False,A320.csv
INCOZ - YSSY,INCOZ - NZRO,False,A320.csv
INCOZ - NFFN,INCOZ - NZTL,False,A320.csv
INCOZ - NZAA,INCOZ - NZTL,False,A320.csv
INCOZ - NZCH,INCOZ - NZTL,False,A320.csv
INCOZ - NZGS,INCOZ - NZTL,False,A320.csv
INCOZ - NZMF,INCOZ - NZTL,False,A320.csv
INCOZ - NZMJ,INCOZ - NZTL,False,A320.csv
INCOZ - NZNS,INCOZ - NZTL,False,A320.csv
INCOZ - NZNV,INCOZ - NZTL,False,A320.csv
INCOZ - NZQE,INCOZ - NZTL,False,A320.csv
INCOZ - NZQN,INCOZ - NZTL,False,A320.csv
INCOZ - NZRO,INCOZ - NZTL,False,A320.csv
INCOZ - NZTL,INCOZ - NZTL,False,A320.csv
INCOZ - NZWN,INCOZ - NZTL,False,A320.csv
